"lambda";"moy"
651;-0,0123657182
652;-0,0127230666
653;-0,0131422734
654;-0,012924651
655;-0,012248792
656;-0,0125064348
657;-0,0126829574
658;-0,012548212
659;-0,0123346096
660;-0,012113725
661;-0,0125820272
662;-0,0128553314
663;-0,012850227
664;-0,0129591288
665;-0,0130606284
666;-0,0129245516
667;-0,0128849562
668;-0,0129372888
669;-0,0126132536
670;-0,0123404182
671;-0,0123853494
672;-0,0119287934
673;-0,0111562484
674;-0,0109728464
675;-0,0105956148
676;-0,0098210198
677;-0,009089098
678;-0,0083632502
679;-0,0074825978
680;-0,006579673
681;-0,005646982
682;-0,005075445
683;-0,0044003056
684;-0,0028038648
685;-0,0013397136
686;1,12467999999998e-05
687;0,0011566454
688;0,0023978276
689;0,0039585426
690;0,0057928818
691;0,0077728594
692;0,009613006
693;0,0115541642
694;0,0136746034
695;0,0160069622
696;0,0183876786
697;0,0206547026
698;0,0230728108
699;0,0256620206
700;0,028165941
701;0,0307280594
702;0,0336136772
703;0,0362726378
704;0,038756608
705;0,041949117
706;0,0448233296
707;0,0469264042
708;0,0495629334
709;0,0524557326
710;0,055506203
711;0,0582895612
712;0,0607041518
713;0,0630167482
714;0,0653303936
715;0,0678792294
716;0,0704473176
717;0,0730350236
718;0,0751769548
719;0,0772129088
720;0,0791458218
721;0,0813088778
722;0,083620421
723;0,0858346266
724;0,0876896836
725;0,0888655612
726;0,0901624258
727;0,0915467282
728;0,0934191158
729;0,095106543
730;0,09656274
731;0,0977811402
732;0,09892381
733;0,0999967926
734;0,1012521506
735;0,1026614702
736;0,103646479
737;0,1045611156
738;0,1054137314
739;0,106273117
740;0,1071364634
741;0,108338766
742;0,1092683398
743;0,1097328644
744;0,1106345028
745;0,1116276856
746;0,112052465
747;0,112570139
748;0,1131930754
749;0,1135810628
750;0,1139350278
751;0,1143440496
752;0,1149035334
753;0,1155779248
754;0,1160440952
755;0,1165483802
756;0,117175111
757;0,1174500246
758;0,1175762294
759;0,118535322
760;0,1192393008
761;0,1195520716
762;0,1196555062
763;0,119790993
764;0,1205663932
765;0,1211677672
766;0,1215924078
767;0,1219695832
768;0,122352516
769;0,1227692264
770;0,1233554966
771;0,1240598206
772;0,1244858562
773;0,124828642
774;0,1250128446
775;0,1253474044
776;0,1257506106
777;0,1261711168
778;0,1268257392
779;0,1277932824
780;0,1279200064
781;0,127935752
782;0,1284925138
783;0,128974921
784;0,1293901624
785;0,1301418484
786;0,1307237126
787;0,1306908054
788;0,1311009176
789;0,1317787304
790;0,1327227276
791;0,133395759
792;0,1335711038
793;0,134095882
794;0,134702882
795;0,1348293762
796;0,1352233382
797;0,1359378572
798;0,1362542234
799;0,136560204
800;0,1371499068
801;0,1374952894
802;0,137644563
803;0,1387159536
804;0,139598859
805;0,1398422344
806;0,14005591
807;0,1402782438
808;0,141229228
809;0,1419492894
810;0,1423061988
811;0,1426359002
812;0,1429607792
813;0,1432863042
814;0,144052286
815;0,1452890464
816;0,1450806336
817;0,1448965028
818;0,145625359
819;0,1461368382
820;0,1464958274
821;0,1474612496
822;0,1481742382
823;0,148292731
824;0,1487871952
825;0,1494200928
826;0,1494225138
827;0,1496897944
828;0,150317281
829;0,1509497602
830;0,1515413582
831;0,1518711226
832;0,1523258734
833;0,1528962852
834;0,153224905
835;0,1534910162
836;0,1536535218
837;0,1539308924
838;0,1542802844
839;0,1550984906
840;0,1558815604
841;0,1565760526
842;0,1568209172
843;0,1569174104
844;0,1572205398
845;0,1577353692
846;0,1585044856
847;0,159490925
848;0,1603271768
849;0,1602381358
850;0,1605245468
851;0,1611180756
852;0,1613379552
853;0,1617316322
854;0,1626386654
855;0,1630738958
856;0,1632779368
857;0,1643002376
858;0,1651951116
859;0,1658718706
860;0,1659171678
861;0,1657773916
862;0,1657923116
863;0,1666443574
864;0,1683960516
865;0,1694310968
866;0,1700127196
867;0,1693265964
868;0,169800837
869;0,1711173834
870;0,1712830676
871;0,1715861616
872;0,1722914872
873;0,1722558694
874;0,1719621408
875;0,1730657056
876;0,1738889566
877;0,1742981164
878;0,175300086
879;0,1762622188
880;0,1759428994
881;0,1760857928
882;0,1766801634
883;0,1779906478
884;0,1791261018
885;0,179370952
886;0,1794146168
887;0,1793290336
888;0,180256038
889;0,1810352232
890;0,1814868358
891;0,1809442894
892;0,1801609378
893;0,1811160674
894;0,1826162546
895;0,184803664
896;0,1849711238
897;0,1848114766
898;0,1852195096
899;0,1853233272
900;0,1851690786
901;0,1861717876
902;0,1869647282
903;0,1869392662
904;0,187357529
905;0,187999321
906;0,1873012102
907;0,1875901536
908;0,1894719108
909;0,189861495
910;0,189825607
911;0,1904052972
912;0,1906932586
913;0,1906534922
914;0,1906381148
915;0,1904673116
916;0,1897194902
917;0,1901586012
918;0,1914950302
919;0,1920957582
920;0,1927988324
921;0,1937984042
922;0,1947789026
923;0,19565093
924;0,1943204286
925;0,1945102064
926;0,1968941218
927;0,1969911716
928;0,1965464052
929;0,1968301244
930;0,1972734486
931;0,1978681864
932;0,1997904032
933;0,201327873
934;0,2009794764
935;0,1987757558
936;0,1953177674
937;0,1983163276
938;0,2005198838
939;0,2009280634
940;0,2016929344
941;0,2024449564
942;0,2012338054
943;0,2007443244
944;0,2011877758
945;0,2018575052
946;0,2024381568
947;0,202302985
948;0,2019036466
949;0,2012784332
950;0,201332745
951;0,2020016068
952;0,2040969946
953;0,2020585784
954;0,1976712636
955;0,1997261704
956;0,2013610132
957;0,2022472658
958;0,2032518712
959;0,2038093428
960;0,20009876
961;0,199890234
962;0,2036778886
963;0,203205555
964;0,2022823636
965;0,2026926894
966;0,202458288
967;0,201728568
968;0,2018488062
969;0,2034833036
970;0,208492715
971;0,2068426152
972;0,2022015014
973;0,2044151748
974;0,2060384816
975;0,2067257302
976;0,2082112752
977;0,2092676754
978;0,2057743172
979;0,2042860538
980;0,2048612026
981;0,2073869172
982;0,2103610624
983;0,2137694702
984;0,213542728
985;0,2108495788
986;0,2103277766
987;0,2111007512
988;0,214406535
989;0,2143388762
990;0,2126871566
991;0,2099394056
992;0,2078608416
993;0,2066905472
994;0,2108815628
995;0,2156200012
996;0,2164799928
997;0,2163987354
998;0,2154426084
999;0,2143880262
1000;0,2134968528
1001;0,2130848008
1002;0,2139542852
1003;0,2155556412
1004;0,2120078532
1005;0,2139658244
1006;0,2253096764
1007;0,2262199624
1008;0,2232891628
1009;0,22076507
1010;0,2203697968
1011;0,2225237656
1012;0,2172919762
1013;0,212414306
1014;0,2156202702
1015;0,2120903082
1016;0,2030137424
1017;0,20573976
1018;0,2113859244
1019;0,2217573316
1020;0,226371053
1021;0,2275095534
1022;0,2127393764
1023;0,2097122304
1024;0,2246270272
1025;0,2280448256
1026;0,2297077768
1027;0,2420841142
1028;0,241781962
1029;0,2280264284
1030;0,2420196456
1031;0,2542853206
1032;0,2470978
1033;0,2379335058
1034;0,2271307692
1035;0,2131178528
1036;0,2082627262
1037;0,2235329504
1038;0,2373405624
1039;0,2490386326
