"lambda";"moy"
682;0,0764043373
683;0,0763877497
684;0,0762896436
685;0,0762881314
686;0,0763680078
687;0,0765636026
688;0,0767548487
689;0,0769060135
690;0,076905507
691;0,076822014
692;0,076882323
693;0,076954785
694;0,0770481745
695;0,0771166397
696;0,0771560201
697;0,0770339194
698;0,076988613
699;0,077029048
700;0,0770721229
701;0,0770934266
702;0,0770321291
703;0,0770714704
704;0,0771856954
705;0,0772148844
706;0,0772701811
707;0,0773954616
708;0,0772664771
709;0,0770270574
710;0,0771061112
711;0,0771359033
712;0,0770955882
713;0,0770872403
714;0,0771151719
715;0,0773069245
716;0,0772917626
717;0,0770712896
718;0,0772325851
719;0,0773431032
720;0,0771154813
721;0,0770232987
722;0,0770207211
723;0,0770287475
724;0,0769892428
725;0,0768574285
726;0,0768427701
727;0,0768716509
728;0,0768148093
729;0,0767843663
730;0,0767872419
731;0,0767508716
732;0,0767083835
733;0,0766841333
734;0,0765663394
735;0,0763691737
736;0,0763574467
737;0,0763376843
738;0,0762408589
739;0,0761642023
740;0,0760988307
741;0,075972293
742;0,0758639987
743;0,0757868902
744;0,0757821623
745;0,0757728632
746;0,075492726
747;0,0753543346
748;0,0753768401
749;0,0752345383
750;0,0750708688
751;0,0749589739
752;0,0748336705
753;0,0746978629
754;0,0746632201
755;0,0745900634
756;0,074408552
757;0,0742115804
758;0,0740131294
759;0,0740558556
760;0,074003403
761;0,0738060434
762;0,073622737
763;0,0734524051
764;0,0733483166
765;0,0732106483
766;0,0730386341
767;0,0729889269
768;0,072922206
769;0,0727369593
770;0,0726658802
771;0,0726720195
772;0,0725386543
773;0,072342131
774;0,0720268007
775;0,0717589033
776;0,0715287219
777;0,071548533
778;0,0715191079
779;0,0714234085
780;0,0712943036
781;0,0711329034
782;0,0708508053
783;0,0707327267
784;0,0707631593
785;0,0706658688
786;0,0704982868
787;0,0701722993
788;0,0700057283
789;0,0699338676
790;0,0697563261
791;0,069671476
792;0,0697558979
793;0,0696323336
794;0,0694233989
795;0,0691592923
796;0,0689116457
797;0,0686844961
798;0,0688042518
799;0,0688790171
800;0,0684742142
801;0,0682659664
802;0,0682151381
803;0,0679868639
804;0,0678150151
805;0,0678148335
806;0,0677271654
807;0,0675879753
808;0,0673077069
809;0,0671722811
810;0,0672615421
811;0,0670252482
812;0,066725828
813;0,0667314323
814;0,0665667544
815;0,0662197601
816;0,0663244905
817;0,0663974972
818;0,0661028904
819;0,0659841934
820;0,0659906942
821;0,0658161677
822;0,0656599522
823;0,0655612241
824;0,0654103034
825;0,0652333379
826;0,0650544804
827;0,0648799814
828;0,0647127359
829;0,0646002367
830;0,0645323351
831;0,0646312833
832;0,064522745
833;0,0642240486
834;0,0644187257
835;0,0645704672
836;0,0644097422
837;0,0642939104
838;0,0642041564
839;0,0639958906
840;0,0637858763
841;0,0635795293
842;0,0635632833
843;0,0636127296
844;0,0636007816
845;0,0634869438
846;0,0632500146
847;0,0631934118
848;0,0632280293
849;0,0634860936
850;0,0632366339
851;0,0625724755
852;0,0626632237
853;0,0626829561
854;0,0623539863
855;0,0623115012
856;0,0624142177
857;0,0621598409
858;0,0620558916
859;0,0621972401
860;0,0621178649
861;0,061962364
862;0,0617856873
863;0,0617131482
864;0,0617538639
865;0,0616016418
866;0,0614804566
867;0,0615971033
868;0,0613953769
869;0,0609617189
870;0,06127144
871;0,061406215
872;0,0610813495
873;0,0610638445
874;0,0611652917
875;0,0609104398
876;0,060775008
877;0,0608147734
878;0,0608425178
879;0,0608317356
880;0,0606184367
881;0,0606160284
882;0,0608191127
883;0,0605647157
884;0,0603778993
885;0,0605989333
886;0,0607276779
887;0,0607987788
888;0,0602469887
889;0,0600507085
890;0,0605642211
891;0,0604939971
892;0,0601761445
893;0,0597467177
894;0,0595581965
895;0,0596756148
896;0,0594995953
897;0,0592796457
898;0,0591773149
899;0,0593333232
900;0,0597109594
901;0,0597979223
902;0,0598589015
903;0,0599175542
904;0,060340615
905;0,0609322759
906;0,0597509338
907;0,0590326988
908;0,059079563
909;0,0590095809
910;0,0589310269
911;0,0591115199
912;0,0591148943
913;0,0589192499
914;0,059010491
915;0,0590650395
916;0,0587967195
917;0,0588788803
918;0,0592275586
919;0,0586999733
920;0,0583750412
921;0,0586126378
922;0,0591888759
923;0,0598632979
924;0,059149697
925;0,0587640045
926;0,0588543125
927;0,0588533732
928;0,0588460589
929;0,0589665199
930;0,0585867399
931;0,0577191006
932;0,0581871306
933;0,0587494911
934;0,0590055465
935;0,0591140835
936;0,0591282033
937;0,0587789279
938;0,058692819
939;0,059142361
940;0,0591020788
941;0,0587911359
942;0,0577147947
943;0,0574982716
944;0,0583858773
945;0,0581273962
946;0,0577550695
947;0,0582154599
948;0,0580306958
949;0,0572885027
950;0,0574091917
951;0,0571793117
952;0,0557836302
953;0,0561533869
954;0,0575247484
955;0,0573839343
956;0,057103376
957;0,0565914794
958;0,0568834742
959;0,0574442627
960;0,0579425582
961;0,0578639057
962;0,0571344558
963;0,0582951085
964;0,0592904778
965;0,0582133766
966;0,0577879505
967;0,0578541242
968;0,0573749318
969;0,0573419016
970;0,0584343636
971;0,058215924
972;0,0573284436
973;0,0564770344
974;0,0565960844
975;0,0582139657
976;0,0577208503
977;0,0567448318
978;0,0568885617
979;0,0565061169
980;0,0555904688
981;0,0559945547
982;0,0567557491
983;0,0581361248
984;0,0592962684
985;0,0603110072
986;0,0589143326
987;0,0572643164
988;0,0552746778
989;0,0538845769
990;0,0528467431
991;0,0535050558
992;0,053818051
993;0,0536840324
994;0,0530036757
995;0,05255083
996;0,0538854654
997;0,0547878341
998;0,0553166485
999;0,0513283858
1000;0,0494613891
1001;0,0547032036
1002;0,0569827732
1003;0,0574804647
1004;0,0544223241
1005;0,0518358848
1006;0,0502353322
1007;0,0529036545
1008;0,0563498097
1009;0,0523482157
1010;0,050392279
1011;0,0509368999
1012;0,0505261973
1013;0,0499922051
1014;0,0499266094
1015;0,0506090813
1016;0,0518792015
1017;0,0485392208
1018;0,0481878935
1019;0,0558842033
1020;0,0584306621
1021;0,0581549114
1022;0,0578252887
1023;0,0564674106
1024;0,0537530423
1025;0,0556466736
1026;0,0582076312
1027;0,0564893629
1028;0,0535098504
1029;0,0492828539
1030;0,0495400251
1031;0,0513962047
1032;0,0568075684
1033;0,0600117261
1034;0,0616161204
1035;0,0540740806
1036;0,0494100662
1037;0,0517743543
1038;0,0494294837
1039;0,0457723248
1040;0,0567793876
1041;0,0574897999
1042;0,0435890319
1043;0,0457858221
1044;0,0520330643
1045;0,0567742136
1046;0,0550808088
1047;0,0478697989
1048;0,0490580818
1049;0,0507713611
1050;0,0519345143
1051;0,054488361
1052;0,0573484692
1053;0,0492221746
1054;0,0434991818
1055;0,0422712221
1056;0,0477577355
1057;0,054552815
1058;0,0527720408
1059;0,0587028646
1060;0,0754324818
1061;0,0575414588
1062;0,0380035688
1063;0,0531337211
1064;0,0590676562
1065;0,0576989409
1066;0,0585478152
1067;0,0559663795
1068;0,0460600422
1069;0,051177456
1070;0,0619893062
1071;0,0591229802
1072;0,0580543312
1073;0,0601630546
1074;0,0515467606
1075;0,0403144698
