id,N_sim_600_655
2,0
7,0
12,0
14,0
19,0
24,0
26,1
31,0
36,0
38,0
43,0
48,0
50,0
55,0
60,0
62,0
67,0
72,1
74,0
79,0
84,0
86,0
91,0
96,0
98,1
103,0
108,0
110,0
111,1
