id,xSite,ySite,zSite,radius,N_mes_600_655,N_mes_655_665,N_sim_600_655,N_sim_655_665
76,510.0,1530.0,1000.0,10.0,14.98168,3.00703,17845,18005
77,610.0,1530.0,1000.0,10.0,15.626,3.12731,18675,18799
78,710.0,1530.0,1000.0,10.0,16.35493,3.25031,19614,19611
79,810.0,1530.0,1000.0,10.0,16.62819,3.35589,19966,20308
80,910.0,1530.0,1000.0,10.0,16.7423,3.36407,20113,20362
81,1010.0,1530.0,1000.0,10.0,17.1615,3.45148,20653,20939
82,1110.0,1530.0,1000.0,10.0,16.91852,3.42906,20340,20791
83,1210.0,1530.0,1000.0,10.0,17.22282,3.4336,20732,20821
84,110.0,1630.0,1000.0,10.0,11.44414,2.30053,13288,13341
85,210.0,1630.0,1000.0,10.0,12.06827,2.41671,14092,14108
86,310.0,1630.0,1000.0,10.0,13.21174,2.60091,15565,15324
87,410.0,1630.0,1000.0,10.0,13.84131,2.7733,16376,16462
88,510.0,1630.0,1000.0,10.0,14.75888,2.93129,17558,17505
89,610.0,1630.0,1000.0,10.0,15.51111,3.08716,18527,18534
90,710.0,1630.0,1000.0,10.0,16.13369,3.18987,19329,19212
91,810.0,1630.0,1000.0,10.0,16.37512,3.25834,19640,19664
92,910.0,1630.0,1000.0,10.0,16.7097,3.35135,20071,20278
93,1010.0,1630.0,1000.0,10.0,16.89989,3.35619,20316,20310
94,1110.0,1630.0,1000.0,10.0,16.64526,3.32939,19988,20133
95,1210.0,1630.0,1000.0,10.0,16.70737,3.32802,20068,20124
96,110.0,1730.0,1000.0,10.0,11.04124,2.19676,12769,12656
97,210.0,1730.0,1000.0,10.0,11.53729,2.35612,13408,13708
98,310.0,1730.0,1000.0,10.0,12.44865,2.52002,14582,14790
99,410.0,1730.0,1000.0,10.0,13.24978,2.66893,15614,15773
100,510.0,1730.0,1000.0,10.0,14.02296,2.81465,16610,16735
101,610.0,1730.0,1000.0,10.0,14.82487,2.99264,17643,17910
102,710.0,1730.0,1000.0,10.0,15.35896,3.04626,18331,18264
103,810.0,1730.0,1000.0,10.0,15.80066,3.13367,18900,18841
104,910.0,1730.0,1000.0,10.0,15.92099,3.16245,19055,19031
105,1010.0,1730.0,1000.0,10.0,15.99085,3.21093,19145,19351
106,1110.0,1730.0,1000.0,10.0,16.09177,3.23456,19275,19507
107,1210.0,1730.0,1000.0,10.0,16.21908,3.2285,19439,19467
108,110.0,1830.0,1000.0,10.0,10.19975,2.06103,11685,11760
109,210.0,1830.0,1000.0,10.0,10.76488,2.21115,12413,12751
110,310.0,1830.0,1000.0,10.0,11.74223,2.3493,13672,13663
111,410.0,1830.0,1000.0,10.0,12.30659,2.48609,14399,14566
112,510.0,1830.0,1000.0,10.0,13.10617,2.62682,15429,15495
113,610.0,1830.0,1000.0,10.0,13.68217,2.7836,16171,16530
114,710.0,1830.0,1000.0,10.0,14.32494,2.85631,16999,17010
