id,xSite,ySite,zSite,radius,N_sim_calibration_600_655,N_sim_calibration_655_665,N_sim_600_655,N_sim_655_665
0,110.0,930.0,1000.0,10.0,12.0417,2.41383,13902,13997
1,210.0,930.0,1000.0,10.0,12.47294,2.51924,14700,15061
2,310.0,930.0,1000.0,10.0,13.31385,2.67401,15785,16063
3,410.0,930.0,1000.0,10.0,14.00362,2.82414,16675,17035
4,510.0,930.0,1000.0,10.0,14.89878,2.90847,17830,17581
5,610.0,930.0,1000.0,10.0,15.36148,3.07621,18427,18667
6,710.0,930.0,1000.0,10.0,15.92028,3.16132,19148,19218
7,810.0,930.0,1000.0,10.0,16.27989,3.28735,19612,20034
8,910.0,930.0,1000.0,10.0,16.50077,3.31917,19897,20240
9,1010.0,930.0,1000.0,10.0,16.81001,3.36644,20296,20546
10,1110.0,930.0,1000.0,10.0,16.73406,3.38296,20198,20653
11,1210.0,930.0,1000.0,10.0,17.9562,3.57724,20349,20482
12,110.0,1030.0,1000.0,10.0,11.78781,2.35166,13816,13976
13,210.0,1030.0,1000.0,10.0,12.59462,2.53237,14857,15146
14,310.0,1030.0,1000.0,10.0,13.4704,2.68868,15987,16158
15,410.0,1030.0,1000.0,10.0,14.085,2.83186,16780,17085
16,510.0,1030.0,1000.0,10.0,14.74378,2.93272,17630,17738
17,610.0,1030.0,1000.0,10.0,15.50796,3.05397,18616,18523
18,710.0,1030.0,1000.0,10.0,15.75442,3.18248,18934,19355
19,810.0,1030.0,1000.0,10.0,16.29849,3.24241,19636,19743
20,910.0,1030.0,1000.0,10.0,16.71081,3.31191,20168,20193
21,1010.0,1030.0,1000.0,10.0,16.83171,3.33817,20324,20363
22,1110.0,1030.0,1000.0,10.0,16.92007,3.38713,20438,20680
23,1210.0,1030.0,1000.0,10.0,17.08747,3.41833,20654,20882
24,110.0,1130.0,1000.0,10.0,11.94979,2.36216,14025,14044
25,210.0,1130.0,1000.0,10.0,12.62329,2.51492,14894,15033
26,310.0,1130.0,1000.0,10.0,13.45335,2.6771,15965,16083
27,410.0,1130.0,1000.0,10.0,14.13073,2.86492,16839,17299
28,510.0,1130.0,1000.0,10.0,14.75075,2.95651,17639,17892
29,610.0,1130.0,1000.0,10.0,16.2297,3.25052,18681,18715
30,710.0,1130.0,1000.0,10.0,16.20316,3.15931,19513,19205
31,810.0,1130.0,1000.0,10.0,16.42947,3.32272,19805,20263
32,910.0,1130.0,1000.0,10.0,16.94487,3.334,20470,20336
33,1010.0,1130.0,1000.0,10.0,17.05879,3.39841,20617,20753
34,1110.0,1130.0,1000.0,10.0,16.98517,3.4066,20522,20806
35,1210.0,1130.0,1000.0,10.0,17.20295,3.43455,20803,20987
36,110.0,1230.0,1000.0,10.0,11.90871,2.40077,13972,14294
37,210.0,1230.0,1000.0,10.0,12.64809,2.5072,14926,14983
38,310.0,1230.0,1000.0,10.0,13.46963,2.70753,15986,16280
39,410.0,1230.0,1000.0,10.0,14.16328,2.85133,16881,17211
40,510.0,1230.0,1000.0,10.0,14.7554,3.01953,17645,18300
41,610.0,1230.0,1000.0,10.0,15.69319,3.13846,18855,19070
42,710.0,1230.0,1000.0,10.0,15.8978,3.26388,19119,19882
43,810.0,1230.0,1000.0,10.0,16.68756,3.29971,20138,20114
44,910.0,1230.0,1000.0,10.0,16.85108,3.37617,20349,20609
45,1010.0,1230.0,1000.0,10.0,17.21148,3.4517,20814,21098
46,1110.0,1230.0,1000.0,10.0,17.1642,3.4537,20753,21111
47,1210.0,1230.0,1000.0,10.0,17.22,3.42096,20825,20899
48,110.0,1330.0,1000.0,10.0,11.2207,2.26792,13957,14154
49,210.0,1330.0,1000.0,10.0,12.72637,2.55122,15027,15268
50,310.0,1330.0,1000.0,10.0,13.57348,2.72698,16120,16406
51,410.0,1330.0,1000.0,10.0,14.17646,2.83835,16898,17127
52,510.0,1330.0,1000.0,10.0,15.11657,3.03636,18111,18409
53,610.0,1330.0,1000.0,10.0,15.66529,3.14464,18819,19110
54,710.0,1330.0,1000.0,10.0,16.43102,3.24951,19807,19789
55,810.0,1330.0,1000.0,10.0,16.56432,3.32025,19979,20247
56,910.0,1330.0,1000.0,10.0,17.04252,3.39733,20596,20746
57,1010.0,1330.0,1000.0,10.0,17.25643,3.38111,20872,20641
58,1110.0,1330.0,1000.0,10.0,17.25178,3.43579,20866,20995
59,1210.0,1330.0,1000.0,10.0,17.5338,3.52016,20956,21366
60,110.0,1430.0,1000.0,10.0,11.88702,2.35027,13944,13967
61,210.0,1430.0,1000.0,10.0,12.63414,2.52465,14908,15096
62,310.0,1430.0,1000.0,10.0,13.46188,2.67154,15976,16047
63,410.0,1430.0,1000.0,10.0,14.116,2.88021,16820,17398
64,510.0,1430.0,1000.0,10.0,15.07239,3.00671,18054,18217
65,610.0,1430.0,1000.0,10.0,15.71334,3.12718,18881,18997
66,710.0,1430.0,1000.0,10.0,16.31244,3.27855,19654,19977
67,810.0,1430.0,1000.0,10.0,16.65888,3.3269,20101,20290
68,910.0,1430.0,1000.0,10.0,16.87201,3.39856,20376,20754
69,1010.0,1430.0,1000.0,10.0,17.35796,3.42436,21003,20921
70,1110.0,1430.0,1000.0,10.0,17.43856,3.4327,21107,20975
71,1210.0,1430.0,1000.0,10.0,17.50676,3.46112,21195,21159
72,110.0,1530.0,1000.0,10.0,11.69326,2.35521,13694,13999
73,210.0,1530.0,1000.0,10.0,12.54889,2.48897,14798,14865
74,310.0,1530.0,1000.0,10.0,13.3619,2.65516,15847,15941
75,410.0,1530.0,1000.0,10.0,14.05865,2.82847,16746,17063
76,510.0,1530.0,1000.0,10.0,14.95148,2.92809,17898,17708
77,610.0,1530.0,1000.0,10.0,15.72652,3.10896,18898,18879
78,710.0,1530.0,1000.0,10.0,16.27834,3.26913,19610,19916
79,810.0,1530.0,1000.0,10.0,16.52945,3.32628,19934,20286
80,910.0,1530.0,1000.0,10.0,17.04949,3.36427,20605,20532
81,1010.0,1530.0,1000.0,10.0,17.36493,3.3842,21012,20661
82,1110.0,1530.0,1000.0,10.0,17.04175,3.43501,20595,20990
83,1210.0,1530.0,1000.0,10.0,17.10917,3.43795,20682,21009
84,110.0,1630.0,1000.0,10.0,11.35844,2.26455,13262,13412
85,210.0,1630.0,1000.0,10.0,12.1668,2.42719,14305,14465
86,310.0,1630.0,1000.0,10.0,12.84573,2.58597,15181,15493
87,410.0,1630.0,1000.0,10.0,13.92612,2.75541,16575,16590
88,510.0,1630.0,1000.0,10.0,14.54072,2.94137,17368,17794
89,610.0,1630.0,1000.0,10.0,15.22042,3.05891,18245,18555
90,710.0,1630.0,1000.0,10.0,15.72264,3.18325,18893,19360
91,810.0,1630.0,1000.0,10.0,16.11326,3.26588,19397,19895
92,910.0,1630.0,1000.0,10.0,16.67671,3.30203,20124,20129
93,1010.0,1630.0,1000.0,10.0,16.71236,3.34126,20170,20383
94,1110.0,1630.0,1000.0,10.0,16.85806,3.39037,20358,20701
95,1210.0,1630.0,1000.0,10.0,16.92859,3.36211,20449,20518
96,110.0,1730.0,1000.0,10.0,10.88723,2.22145,12654,13133
97,210.0,1730.0,1000.0,10.0,11.49485,2.32679,13438,13815
98,310.0,1730.0,1000.0,10.0,12.46441,2.49314,14689,14892
99,410.0,1730.0,1000.0,10.0,13.34795,2.66196,15829,15985
100,510.0,1730.0,1000.0,10.0,14.01215,2.8351,16686,17106
101,610.0,1730.0,1000.0,10.0,14.67558,2.90461,17542,17556
102,710.0,1730.0,1000.0,10.0,15.22352,3.0413,18249,18441
103,810.0,1730.0,1000.0,10.0,15.66451,3.16981,18818,19273
104,910.0,1730.0,1000.0,10.0,15.79394,3.19344,18985,19426
105,1010.0,1730.0,1000.0,10.0,16.10706,3.1851,19389,19372
106,1110.0,1730.0,1000.0,10.0,15.966,3.17445,19207,19303
107,1210.0,1730.0,1000.0,10.0,16.06753,3.20117,19338,19476
108,110.0,1830.0,1000.0,10.0,10.03314,2.01649,11552,11806
109,210.0,1830.0,1000.0,10.0,10.73919,2.1796,12463,12862
110,310.0,1830.0,1000.0,10.0,11.57855,2.34193,13546,13913
111,410.0,1830.0,1000.0,10.0,12.39931,2.47723,14605,14789
112,510.0,1830.0,1000.0,10.0,13.09994,2.59045,15509,15522
113,610.0,1830.0,1000.0,10.0,13.78894,2.74753,16398,16539
114,710.0,1830.0,1000.0,10.0,14.14933,2.83124,16863,17081
115,810.0,1830.0,1000.0,10.0,14.52444,2.88021,17347,17398
116,910.0,1830.0,1000.0,10.0,14.82826,2.95929,17739,17910
117,1010.0,1830.0,1000.0,10.0,14.83291,2.9925,17745,18125
118,1110.0,1830.0,1000.0,10.0,14.97164,3.02076,17924,18308
119,1210.0,1830.0,1000.0,10.0,15.12819,2.99528,18126,18143
120,110.0,930.0,1400.0,10.0,11.2783,2.25193,12969,13586
121,210.0,930.0,1400.0,10.0,12.0335,2.39861,14133,14280
122,310.0,930.0,1400.0,10.0,12.99376,2.61825,15372,15702
123,410.0,930.0,1400.0,10.0,14.02378,2.80576,16701,16916
124,510.0,930.0,1400.0,10.0,14.91584,2.98416,17852,18071
125,610.0,930.0,1400.0,10.0,15.91562,3.20472,19142,19499
126,710.0,930.0,1400.0,10.0,16.56355,3.32535,19978,20280
127,810.0,930.0,1400.0,10.0,17.25875,3.43285,20875,20976
128,910.0,930.0,1400.0,10.0,17.30448,3.47734,20934,21264
129,1010.0,930.0,1400.0,10.0,17.52536,3.51286,21219,21494
130,1110.0,930.0,1400.0,10.0,17.70982,3.5368,21457,21649
131,1210.0,930.0,1400.0,10.0,18.4054,3.6964,21385,21346
132,110.0,1030.0,1400.0,10.0,11.30187,2.25775,13189,13368
133,210.0,1030.0,1400.0,10.0,11.97614,2.43614,14059,14523
134,310.0,1030.0,1400.0,10.0,13.04646,2.61964,15440,15711
135,410.0,1030.0,1400.0,10.0,14.27024,2.8524,17019,17218
136,510.0,1030.0,1400.0,10.0,15.14834,3.06432,18152,18590
137,610.0,1030.0,1400.0,10.0,16.37444,3.25631,19734,19833
138,710.0,1030.0,1400.0,10.0,16.92704,3.36767,20447,20554
139,810.0,1030.0,1400.0,10.0,17.60907,3.51873,21327,21532
140,910.0,1030.0,1400.0,10.0,17.69122,3.56074,21433,21804
141,1010.0,1030.0,1400.0,10.0,17.62457,3.60507,21347,22091
142,1110.0,1030.0,1400.0,10.0,17.8129,3.58144,21590,21938
143,1210.0,1030.0,1400.0,10.0,17.92606,3.59086,21736,21999
144,110.0,1130.0,1400.0,10.0,11.55685,2.27999,13518,13512
145,210.0,1130.0,1400.0,10.0,12.44271,2.44649,14661,14590
146,310.0,1130.0,1400.0,10.0,13.56651,2.6791,16111,16096
147,410.0,1130.0,1400.0,10.0,14.6097,2.96161,17457,17925
148,510.0,1130.0,1400.0,10.0,16.14736,3.18912,19441,19398
149,610.0,1130.0,1400.0,10.0,17.5885,3.50119,20542,20682
150,710.0,1130.0,1400.0,10.0,17.8253,3.59086,21606,21999
151,810.0,1130.0,1400.0,10.0,18.37867,3.64554,22320,22353
152,910.0,1130.0,1400.0,10.0,18.4213,3.74825,22375,23018
153,1010.0,1130.0,1400.0,10.0,18.64528,3.72678,22664,22879
154,1110.0,1130.0,1400.0,10.0,18.50578,3.69404,22484,22667
155,1210.0,1130.0,1400.0,10.0,18.5267,3.68879,22511,22633
156,110.0,1230.0,1400.0,10.0,11.74983,2.33946,13767,13897
157,210.0,1230.0,1400.0,10.0,12.77752,2.52758,15093,15115
158,310.0,1230.0,1400.0,10.0,14.17491,2.80082,16896,16884
159,410.0,1230.0,1400.0,10.0,15.63739,3.08749,18783,18740
160,510.0,1230.0,1400.0,10.0,17.11615,3.38976,20691,20697
161,610.0,1230.0,1400.0,10.0,18.13764,3.64183,22009,22329
162,710.0,1230.0,1400.0,10.0,19.0731,3.84741,23216,23660
163,810.0,1230.0,1400.0,10.0,19.69313,3.98565,24016,24555
164,910.0,1230.0,1400.0,10.0,19.61717,3.92047,23918,24133
165,1010.0,1230.0,1400.0,10.0,19.88921,3.93978,24269,24258
166,1110.0,1230.0,1400.0,10.0,19.33119,3.86239,23549,23757
167,1210.0,1230.0,1400.0,10.0,19.45054,3.87599,23703,23845
168,110.0,1330.0,1400.0,10.0,10.8791,2.18031,13977,14392
169,210.0,1330.0,1400.0,10.0,13.08909,2.61547,15495,15684
170,310.0,1330.0,1400.0,10.0,14.63915,2.90739,17495,17574
171,410.0,1330.0,1400.0,10.0,16.38684,3.29168,19750,20062
172,510.0,1330.0,1400.0,10.0,18.16011,3.69543,22038,22676
173,610.0,1330.0,1400.0,10.0,19.6182,3.91336,24439,24548
174,710.0,1330.0,1400.0,10.0,20.8869,4.17343,25844,25890
175,810.0,1330.0,1400.0,10.0,21.43307,4.28823,26261,26514
176,910.0,1330.0,1400.0,10.0,21.17963,4.28128,25934,26469
177,1010.0,1330.0,1400.0,10.0,21.14321,4.2022,25887,25957
178,1110.0,1330.0,1400.0,10.0,20.54023,4.11771,25109,25410
179,1210.0,1330.0,1400.0,10.0,18.8231,3.80179,24605,25422
180,110.0,1430.0,1400.0,10.0,12.07302,2.42055,14184,14422
181,210.0,1430.0,1400.0,10.0,13.3619,2.67895,15847,16095
182,310.0,1430.0,1400.0,10.0,15.2026,3.02462,18222,18333
183,410.0,1430.0,1400.0,10.0,17.26728,3.43733,20886,21005
184,510.0,1430.0,1400.0,10.0,19.31646,3.91089,23530,24071
185,610.0,1430.0,1400.0,10.0,21.36177,4.29734,26169,26573
186,710.0,1430.0,1400.0,10.0,22.66459,4.49984,27850,27884
187,810.0,1430.0,1400.0,10.0,23.04746,4.62912,28344,28721
188,910.0,1430.0,1400.0,10.0,22.83587,4.5956,28071,28504
189,1010.0,1430.0,1400.0,10.0,21.90196,4.43064,26866,27436
190,1110.0,1430.0,1400.0,10.0,21.65163,4.33426,26543,26812
191,1210.0,1430.0,1400.0,10.0,21.33542,4.33518,26135,26818
192,110.0,1530.0,1400.0,10.0,12.0924,2.42224,14209,14433
193,210.0,1530.0,1400.0,10.0,13.46653,2.67432,15982,16065
194,310.0,1530.0,1400.0,10.0,15.43743,3.09969,18525,18819
195,410.0,1530.0,1400.0,10.0,18.00898,3.56816,21843,21852
196,510.0,1530.0,1400.0,10.0,20.2372,4.11926,24718,25420
197,610.0,1530.0,1400.0,10.0,22.78627,4.52254,28007,28031
198,710.0,1530.0,1400.0,10.0,24.11855,4.86003,29726,30216
199,810.0,1530.0,1400.0,10.0,24.49289,4.9147,30209,30570
200,910.0,1530.0,1400.0,10.0,23.86977,4.74511,29405,29472
201,1010.0,1530.0,1400.0,10.0,22.76302,4.54849,27977,28199
202,1110.0,1530.0,1400.0,10.0,22.06472,4.39928,27076,27233
203,1210.0,1530.0,1400.0,10.0,21.82524,4.35403,26767,26940
204,110.0,1630.0,1400.0,10.0,11.84439,2.35305,13889,13985
205,210.0,1630.0,1400.0,10.0,13.19526,2.64713,15632,15889
206,310.0,1630.0,1400.0,10.0,15.40875,3.06957,18488,18624
207,410.0,1630.0,1400.0,10.0,18.01053,3.54452,21845,21699
208,510.0,1630.0,1400.0,10.0,20.59061,4.08929,25174,25226
209,610.0,1630.0,1400.0,10.0,23.11256,4.56239,28428,28289
210,710.0,1630.0,1400.0,10.0,24.32703,4.87594,29995,30319
211,810.0,1630.0,1400.0,10.0,24.86335,4.93617,30687,30709
212,910.0,1630.0,1400.0,10.0,24.1635,4.80767,29784,29877
213,1010.0,1630.0,1400.0,10.0,22.94903,4.64178,28217,28803
214,1110.0,1630.0,1400.0,10.0,22.14377,4.45319,27178,27582
215,1210.0,1630.0,1400.0,10.0,21.75006,4.39527,26670,27207
216,110.0,1730.0,1400.0,10.0,11.27939,2.25543,13160,13353
217,210.0,1730.0,1400.0,10.0,12.86278,2.51275,15203,15019
218,310.0,1730.0,1400.0,10.0,14.75153,2.94709,17640,17831
219,410.0,1730.0,1400.0,10.0,17.2386,3.41926,20849,20888
220,510.0,1730.0,1400.0,10.0,19.72722,3.95955,24060,24386
221,610.0,1730.0,1400.0,10.0,21.99729,4.39866,26989,27229
222,710.0,1730.0,1400.0,10.0,23.73879,4.7258,29236,29347
223,810.0,1730.0,1400.0,10.0,23.58223,4.84088,29034,30092
224,910.0,1730.0,1400.0,10.0,23.25749,4.64178,28615,28803
225,1010.0,1730.0,1400.0,10.0,22.17012,4.46524,27212,27660
226,1110.0,1730.0,1400.0,10.0,21.06958,4.18197,25792,25826
227,1210.0,1730.0,1400.0,10.0,20.90062,4.13053,25574,25493
228,110.0,1830.0,1400.0,10.0,10.54001,2.0897,12206,12280
229,210.0,1830.0,1400.0,10.0,11.86067,2.36509,13910,14063
230,310.0,1830.0,1400.0,10.0,13.64169,2.67061,16208,16041
231,410.0,1830.0,1400.0,10.0,15.84897,3.11575,19056,18923
232,510.0,1830.0,1400.0,10.0,17.96945,3.55951,21792,21796
233,610.0,1830.0,1400.0,10.0,20.03724,3.98859,24460,24574
234,710.0,1830.0,1400.0,10.0,21.02385,4.20714,25733,25989
235,810.0,1830.0,1400.0,10.0,21.10445,4.32267,25837,26737
236,910.0,1830.0,1400.0,10.0,20.80607,4.1971,25452,25924
237,1010.0,1830.0,1400.0,10.0,19.89696,4.02983,24279,24841
238,1110.0,1830.0,1400.0,10.0,19.37149,3.83567,23601,23584
239,1210.0,1830.0,1400.0,10.0,18.99327,3.79474,23113,23319
