id,N_sim_600_655,N_sim_655_665
2,22,33
7,1,2
12,58,53
14,28,35
19,2,1
24,94,76
26,59,55
31,1,2
36,120,129
38,92,84
43,12,12
48,166,136
50,99,105
55,4,10
60,177,167
62,150,135
67,8,11
72,207,204
74,139,128
79,13,9
84,205,215
86,132,125
91,3,1
96,154,127
98,42,64
103,3,2
108,79,81
110,18,17
111,622,603
