id,N_sim_600_655,N_sim_655_665
2,0,0
7,0,0
12,5784,5714
14,85,74
19,171,174
24,6573,6548
26,82,94
31,167,140
36,9833,10173
38,85,87
43,171,204
48,14793,14808
50,99,106
55,193,172
60,17918,18313
62,84,108
67,164,189
72,19903,20180
74,97,74
79,187,180
84,20198,20568
86,99,106
91,187,189
96,16139,16332
98,101,107
103,207,182
108,7399,7261
110,99,111
111,2921,2833
