id,n_photons,elevation
0,144,1000
1,136,1000
2,154,1000
3,156,1000
4,179,1000
5,175,1000
6,188,1000
7,192,1000
8,232,1000
9,200,1000
10,216,1000
11,224,1000
12,133,1000
13,143,1000
14,143,1000
15,183,1000
16,159,1000
17,196,1000
18,183,1000
19,186,1000
20,214,1000
21,199,1000
22,198,1000
23,209,1000
24,138,1000
25,130,1000
26,172,1000
27,166,1000
28,160,1000
29,185,1000
30,202,1000
31,199,1000
32,203,1000
33,191,1000
34,229,1000
35,183,1000
36,147,1000
37,117,1000
38,139,1000
39,164,1000
40,176,1000
41,179,1000
42,200,1000
43,191,1000
44,218,1000
45,202,1000
46,187,1000
47,210,1000
48,130,1000
49,140,1000
50,170,1000
51,162,1000
52,190,1000
53,195,1000
54,189,1000
55,211,1000
56,214,1000
57,190,1000
58,190,1000
59,214,1000
60,124,1000
61,164,1000
62,154,1000
63,152,1000
64,198,1000
65,180,1000
66,199,1000
67,204,1000
68,203,1000
69,223,1000
70,230,1000
71,223,1000
72,140,1000
73,116,1000
74,161,1000
75,172,1000
76,172,1000
77,190,1000
78,184,1000
79,193,1000
80,206,1000
81,196,1000
82,206,1000
83,201,1000
84,135,1000
85,142,1000
86,145,1000
87,171,1000
88,175,1000
89,172,1000
90,207,1000
91,172,1000
92,187,1000
93,176,1000
94,196,1000
95,196,1000
96,136,1000
97,125,1000
98,134,1000
99,157,1000
100,176,1000
101,191,1000
102,161,1000
103,209,1000
104,205,1000
105,180,1000
106,178,1000
107,184,1000
108,106,1000
109,118,1000
110,124,1000
111,149,1000
112,177,1000
113,153,1000
114,175,1000
115,187,1000
116,172,1000
117,156,1000
118,177,1000
119,170,1000
120,110,1400
121,134,1400
122,160,1400
123,174,1400
124,174,1400
125,174,1400
126,196,1400
127,224,1400
128,194,1400
129,192,1400
130,219,1400
131,224,1400
132,138,1400
133,142,1400
134,153,1400
135,186,1400
136,194,1400
137,212,1400
138,186,1400
139,207,1400
140,208,1400
141,220,1400
142,224,1400
143,230,1400
144,132,1400
145,154,1400
146,169,1400
147,182,1400
148,181,1400
149,190,1400
150,212,1400
151,224,1400
152,220,1400
153,230,1400
154,227,1400
155,225,1400
156,139,1400
157,177,1400
158,208,1400
159,196,1400
160,200,1400
161,226,1400
162,266,1400
163,243,1400
164,236,1400
165,255,1400
166,252,1400
167,235,1400
168,121,1400
169,168,1400
170,199,1400
171,191,1400
172,216,1400
173,261,1400
174,279,1400
175,241,1400
176,253,1400
177,249,1400
178,257,1400
179,231,1400
180,128,1400
181,183,1400
182,146,1400
183,185,1400
184,236,1400
185,247,1400
186,277,1400
187,281,1400
188,269,1400
189,249,1400
190,270,1400
191,234,1400
192,143,1400
193,159,1400
194,204,1400
195,213,1400
196,254,1400
197,295,1400
198,307,1400
199,299,1400
200,294,1400
201,301,1400
202,255,1400
203,254,1400
204,125,1400
205,166,1400
206,164,1400
207,196,1400
208,255,1400
209,261,1400
210,273,1400
211,276,1400
212,310,1400
213,274,1400
214,264,1400
215,271,1400
216,129,1400
217,166,1400
218,179,1400
219,176,1400
220,267,1400
221,296,1400
222,305,1400
223,294,1400
224,291,1400
225,245,1400
226,231,1400
227,246,1400
228,119,1400
229,127,1400
230,145,1400
231,167,1400
232,238,1400
233,252,1400
234,258,1400
235,261,1400
236,247,1400
237,267,1400
238,243,1400
239,205,1400
