id,n_photons,elevation
0,14084,1000
1,15107,1000
2,15925,1000
3,17052,1000
4,17719,1000
5,18639,1000
6,19502,1000
7,19602,1000
8,20023,1000
9,20436,1000
10,20655,1000
11,20566,1000
12,14187,1000
13,15073,1000
14,15942,1000
15,17078,1000
16,18044,1000
17,18531,1000
18,19161,1000
19,19863,1000
20,20312,1000
21,20597,1000
22,20432,1000
23,20647,1000
24,14023,1000
25,15006,1000
26,16065,1000
27,17056,1000
28,18150,1000
29,18502,1000
30,19488,1000
31,20090,1000
32,20201,1000
33,20832,1000
34,21044,1000
35,20749,1000
36,14181,1000
37,15328,1000
38,16377,1000
39,17296,1000
40,17966,1000
41,18848,1000
42,19556,1000
43,20060,1000
44,20442,1000
45,20915,1000
46,20984,1000
47,21092,1000
48,14169,1000
49,15226,1000
50,16156,1000
51,17333,1000
52,18397,1000
53,19143,1000
54,19967,1000
55,20603,1000
56,20866,1000
57,21114,1000
58,21138,1000
59,21420,1000
60,13914,1000
61,15017,1000
62,16192,1000
63,16815,1000
64,18372,1000
65,18972,1000
66,19791,1000
67,20417,1000
68,20738,1000
69,21130,1000
70,21141,1000
71,21267,1000
72,13993,1000
73,14877,1000
74,15797,1000
75,16985,1000
76,18137,1000
77,18977,1000
78,19870,1000
79,20496,1000
80,20745,1000
81,20939,1000
82,20958,1000
83,20718,1000
84,13527,1000
85,14373,1000
86,15582,1000
87,16474,1000
88,17622,1000
89,18564,1000
90,19388,1000
91,19792,1000
92,20087,1000
93,20506,1000
94,20717,1000
95,20379,1000
96,12860,1000
97,13753,1000
98,14867,1000
99,15917,1000
100,16841,1000
101,17596,1000
102,18345,1000
103,18957,1000
104,19177,1000
105,19481,1000
106,19360,1000
107,19607,1000
108,11715,1000
109,12907,1000
110,13852,1000
111,14786,1000
112,15592,1000
113,16546,1000
114,17004,1000
115,17697,1000
116,17828,1000
117,17976,1000
118,18079,1000
119,18005,1000
120,13417,1400
121,14249,1400
122,15795,1400
123,16949,1400
124,18318,1400
125,19709,1400
126,20337,1400
127,20754,1400
128,21398,1400
129,21683,1400
130,21414,1400
131,21587,1400
132,13313,1400
133,14306,1400
134,15607,1400
135,17258,1400
136,18788,1400
137,19800,1400
138,20926,1400
139,21424,1400
140,21385,1400
141,21729,1400
142,21498,1400
143,21519,1400
144,13484,1400
145,14558,1400
146,16197,1400
147,18042,1400
148,19257,1400
149,21000,1400
150,22014,1400
151,22815,1400
152,22886,1400
153,22722,1400
154,22651,1400
155,22610,1400
156,13954,1400
157,15295,1400
158,16917,1400
159,18682,1400
160,20509,1400
161,22378,1400
162,23612,1400
163,24242,1400
164,24714,1400
165,24379,1400
166,23515,1400
167,23957,1400
168,14164,1400
169,15686,1400
170,17703,1400
171,19935,1400
172,22639,1400
173,24495,1400
174,26280,1400
175,26063,1400
176,26269,1400
177,25646,1400
178,25241,1400
179,25138,1400
180,14143,1400
181,16174,1400
182,18465,1400
183,21071,1400
184,24139,1400
185,26720,1400
186,28291,1400
187,28553,1400
188,28495,1400
189,27610,1400
190,26336,1400
191,26527,1400
192,14392,1400
193,16289,1400
194,18709,1400
195,21867,1400
196,24897,1400
197,28014,1400
198,30204,1400
199,30516,1400
200,29462,1400
201,28679,1400
202,27502,1400
203,27375,1400
204,14083,1400
205,16090,1400
206,18637,1400
207,21798,1400
208,25427,1400
209,28555,1400
210,30581,1400
211,30918,1400
212,29943,1400
213,28546,1400
214,27327,1400
215,26891,1400
216,13219,1400
217,15408,1400
218,17980,1400
219,20893,1400
220,24465,1400
221,27650,1400
222,29057,1400
223,29853,1400
224,28868,1400
225,27760,1400
226,26145,1400
227,25517,1400
228,12148,1400
229,13947,1400
230,16397,1400
231,19039,1400
232,21801,1400
233,24474,1400
234,26066,1400
235,26303,1400
236,25553,1400
237,24826,1400
238,23596,1400
239,23411,1400
