id,N_sim_600_655,N_sim_655_665
2,27,37
7,1,4
12,59,73
14,40,35
19,2,2
24,77,84
26,46,49
31,0,1
36,117,109
38,89,84
43,7,9
48,155,126
50,90,128
55,5,10
60,169,160
62,120,108
67,8,6
72,226,178
74,138,150
79,9,12
84,229,223
86,127,120
91,5,1
96,157,130
98,56,56
103,0,2
108,100,91
110,14,13
111,573,582
