id,geometry_type,xSite,ySite,zSite,radius,N_sim_600_655,N_sim_655_665
183,disk,410.0,1430.0,1400.0,10.0,211,225
184,disk,510.0,1430.0,1400.0,10.0,228,246
185,disk,610.0,1430.0,1400.0,10.0,272,306
186,disk,710.0,1430.0,1400.0,10.0,278,270
187,disk,810.0,1430.0,1400.0,10.0,281,314
188,disk,910.0,1430.0,1400.0,10.0,298,281
189,disk,1010.0,1430.0,1400.0,10.0,282,270
190,disk,1110.0,1430.0,1400.0,10.0,261,284
191,disk,1210.0,1430.0,1400.0,10.0,257,284
192,disk,110.0,1530.0,1400.0,10.0,139,138
193,disk,210.0,1530.0,1400.0,10.0,188,160
194,disk,310.0,1530.0,1400.0,10.0,156,179
195,disk,410.0,1530.0,1400.0,10.0,212,226
196,disk,510.0,1530.0,1400.0,10.0,275,226
197,disk,610.0,1530.0,1400.0,10.0,281,280
198,disk,710.0,1530.0,1400.0,10.0,285,289
199,disk,810.0,1530.0,1400.0,10.0,315,312
200,disk,910.0,1530.0,1400.0,10.0,335,324
201,disk,1010.0,1530.0,1400.0,10.0,315,320
202,disk,1110.0,1530.0,1400.0,10.0,260,265
203,disk,1210.0,1530.0,1400.0,10.0,270,261
204,disk,110.0,1630.0,1400.0,10.0,142,132
205,disk,210.0,1630.0,1400.0,10.0,166,163
206,disk,310.0,1630.0,1400.0,10.0,177,199
207,disk,410.0,1630.0,1400.0,10.0,224,211
208,disk,510.0,1630.0,1400.0,10.0,221,280
209,disk,610.0,1630.0,1400.0,10.0,283,274
210,disk,710.0,1630.0,1400.0,10.0,291,281
211,disk,810.0,1630.0,1400.0,10.0,308,312
212,disk,910.0,1630.0,1400.0,10.0,317,315
213,disk,1010.0,1630.0,1400.0,10.0,293,286
214,disk,1110.0,1630.0,1400.0,10.0,245,249
215,disk,1210.0,1630.0,1400.0,10.0,257,265
216,disk,110.0,1730.0,1400.0,10.0,111,128
217,disk,210.0,1730.0,1400.0,10.0,168,152
218,disk,310.0,1730.0,1400.0,10.0,186,180
219,disk,410.0,1730.0,1400.0,10.0,201,205
220,disk,510.0,1730.0,1400.0,10.0,235,242
221,disk,610.0,1730.0,1400.0,10.0,255,288
222,disk,710.0,1730.0,1400.0,10.0,279,336
223,disk,810.0,1730.0,1400.0,10.0,296,288
224,disk,910.0,1730.0,1400.0,10.0,304,299
225,disk,1010.0,1730.0,1400.0,10.0,304,279
226,disk,1110.0,1730.0,1400.0,10.0,265,268
227,disk,1210.0,1730.0,1400.0,10.0,251,264
228,disk,110.0,1830.0,1400.0,10.0,101,126
229,disk,210.0,1830.0,1400.0,10.0,144,143
230,disk,310.0,1830.0,1400.0,10.0,156,158
231,disk,410.0,1830.0,1400.0,10.0,186,195
232,disk,510.0,1830.0,1400.0,10.0,217,204
233,disk,610.0,1830.0,1400.0,10.0,259,229
234,disk,710.0,1830.0,1400.0,10.0,295,249
235,disk,810.0,1830.0,1400.0,10.0,234,276
236,disk,910.0,1830.0,1400.0,10.0,297,256
237,disk,1010.0,1830.0,1400.0,10.0,268,240
238,disk,1110.0,1830.0,1400.0,10.0,210,235
239,disk,1210.0,1830.0,1400.0,10.0,231,239
