id,xSite,ySite,zSite,radius,N_sim_calibration_600_655,N_sim_calibration_655_665,N_sim_600_655,N_sim_655_665
75,410.0,1530.0,1000.0,10.0,14.69584,2.84729,1755,1706
76,510.0,1530.0,1000.0,10.0,15.19169,3.003,1824,1808
77,610.0,1530.0,1000.0,10.0,15.68753,3.2243,1893,1953
78,710.0,1530.0,1000.0,10.0,15.93186,3.15713,1927,1909
79,810.0,1530.0,1000.0,10.0,16.72233,3.37236,2037,2050
80,910.0,1530.0,1000.0,10.0,17.08163,3.44866,2087,2100
81,1010.0,1530.0,1000.0,10.0,17.02416,3.43188,2079,2089
82,1110.0,1530.0,1000.0,10.0,17.33316,3.48834,2122,2126
83,1210.0,1530.0,1000.0,10.0,17.0601,3.5143,2084,2143
84,110.0,1630.0,1000.0,10.0,11.83581,2.27799,1357,1333
85,210.0,1630.0,1000.0,10.0,12.31725,2.4871,1424,1470
86,310.0,1630.0,1000.0,10.0,12.71249,2.61073,1479,1551
87,410.0,1630.0,1000.0,10.0,14.25034,2.75573,1693,1646
88,510.0,1630.0,1000.0,10.0,15.08391,2.93277,1809,1762
89,610.0,1630.0,1000.0,10.0,14.87553,3.06405,1780,1848
90,710.0,1630.0,1000.0,10.0,15.90312,3.19375,1923,1933
91,810.0,1630.0,1000.0,10.0,16.4277,3.17391,1996,1920
92,910.0,1630.0,1000.0,10.0,16.62172,3.28076,2023,1990
93,1010.0,1630.0,1000.0,10.0,16.80857,3.35405,2049,2038
94,1110.0,1630.0,1000.0,10.0,16.94512,3.38914,2068,2061
95,1210.0,1630.0,1000.0,10.0,16.77984,3.47768,2045,2119
96,110.0,1730.0,1000.0,10.0,11.50525,2.18338,1311,1271
97,210.0,1730.0,1000.0,10.0,12.20948,2.37719,1409,1398
98,310.0,1730.0,1000.0,10.0,12.55441,2.45503,1457,1449
99,410.0,1730.0,1000.0,10.0,13.00712,2.62598,1520,1561
100,510.0,1730.0,1000.0,10.0,13.5389,2.82592,1594,1692
101,610.0,1730.0,1000.0,10.0,14.58086,2.8992,1739,1740
102,710.0,1730.0,1000.0,10.0,15.00487,3.12969,1798,1891
103,810.0,1730.0,1000.0,10.0,15.78815,3.05487,1907,1842
104,910.0,1730.0,1000.0,10.0,16.34866,3.19987,1985,1937
105,1010.0,1730.0,1000.0,10.0,15.2995,3.20599,1839,1941
106,1110.0,1730.0,1000.0,10.0,15.75941,3.28688,1903,1994
107,1210.0,1730.0,1000.0,10.0,16.39177,3.2472,1991,1968
108,110.0,1830.0,1000.0,10.0,10.52792,2.14064,1175,1243
109,210.0,1830.0,1000.0,10.0,11.39743,2.12534,1296,1233
110,310.0,1830.0,1000.0,10.0,11.92922,2.29477,1370,1344
111,410.0,1830.0,1000.0,10.0,12.93528,2.52525,1510,1495
112,510.0,1830.0,1000.0,10.0,13.13646,2.61379,1538,1553
113,610.0,1830.0,1000.0,10.0,12.79153,2.79236,1490,1670
114,710.0,1830.0,1000.0,10.0,14.49466,2.8656,1727,1718
115,810.0,1830.0,1000.0,10.0,14.37248,2.92971,1710,1760
116,910.0,1830.0,1000.0,10.0,14.40842,3.00907,1715,1812
117,1010.0,1830.0,1000.0,10.0,15.57256,3.06405,1877,1848
118,1110.0,1830.0,1000.0,10.0,15.01924,3.10526,1800,1875
119,1210.0,1830.0,1000.0,10.0,14.86112,2.97704,1778,1791
120,110.0,930.0,1400.0,10.0,11.2783,2.25193,1269,1355
121,210.0,930.0,1400.0,10.0,12.4035,2.4413,1436,1440
122,310.0,930.0,1400.0,10.0,12.92087,2.51608,1508,1489
123,410.0,930.0,1400.0,10.0,14.03475,2.85799,1663,1713
124,510.0,930.0,1400.0,10.0,15.24199,3.06405,1831,1848
125,610.0,930.0,1400.0,10.0,15.57256,3.28994,1877,1996
