"lambda";"moy"
675;0,0060822327
676;0,0060405027
677;0,0061233694
678;0,0062651623
679;0,0065077078
680;0,0068642088
681;0,0073649297
682;0,0081389131
683;0,0090187935
684;0,0101235671
685;0,0117916267
686;0,0139302884
687;0,0162704881
688;0,0189790858
689;0,0226482764
690;0,0269045325
691;0,0314859963
692;0,0376673491
693;0,0442236755
694;0,0514539385
695;0,0597181445
696;0,068416425
697;0,0780806223
698;0,0880036152
699;0,0982274542
700;0,1087246123
701;0,1192786791
702;0,1300519673
703;0,1406982783
704;0,151226596
705;0,1617513165
706;0,172146117
707;0,1823535439
708;0,1925335315
709;0,2026693824
710;0,2129753576
711;0,2231588895
712;0,233211072
713;0,2434579752
714;0,2537224912
715;0,263985079
716;0,2742957872
717;0,2846520822
718;0,2949689905
719;0,3052231297
720;0,3154203434
721;0,3255745032
722;0,335683108
723;0,3454551541
724;0,3550447507
725;0,3643434931
726;0,3734661682
727;0,382453508
728;0,3909061251
729;0,3990725285
730;0,4068924579
731;0,4143676139
732;0,4216308795
733;0,4283586291
734;0,4347973648
735;0,4409884276
736;0,4464719321
737;0,4517335031
738;0,4566214569
739;0,4611383976
740;0,4654487923
741;0,4693263744
742;0,4729580112
743;0,4761721524
744;0,4790124982
745;0,4816930687
746;0,4840820444
747;0,4862263214
748;0,4880920193
749;0,4896049016
750;0,491049432
751;0,4924952984
752;0,4937051607
753;0,4947373386
754;0,495532389
755;0,4962684347
756;0,4969006385
757;0,4975706885
758;0,4982546012
759;0,4986445986
760;0,4990140736
761;0,4993504893
762;0,4996054815
763;0,4998343934
764;0,5000429576
765;0,5002099353
766;0,5003343932
767;0,5003610872
768;0,5003965389
769;0,5005110359
770;0,5005413057
771;0,5005143071
772;0,500534547
773;0,5005565462
774;0,5005787645
775;0,5006859969
776;0,500814505
777;0,5007209572
778;0,5007259412
779;0,5008644397
780;0,5009002461
781;0,5009129768
782;0,5009403334
783;0,50100188
784;0,5010945633
785;0,5012180107
786;0,501327371
787;0,5013833126
788;0,5013895481
789;0,5013660901
790;0,5014686291
791;0,5015353781
792;0,501536519
793;0,5015753883
794;0,5016265449
795;0,5016571984
796;0,5018136646
797;0,5021209608
798;0,5021038881
799;0,5020572146
800;0,5021661732
801;0,5023236263
802;0,5025207684
803;0,502632202
804;0,5027266303
805;0,5027940102
806;0,5027595343
807;0,5026840822
808;0,5030400229
809;0,5031736147
810;0,5029629603
811;0,5030192155
812;0,5031532707
813;0,5032238002
814;0,5033447315
815;0,5035196908
816;0,5037160001
817;0,5038640413
818;0,5038284643
819;0,5038778536
820;0,5039883469
821;0,5041805945
822;0,5043009365
823;0,5042613223
824;0,5042737713
825;0,5043333913
826;0,504757682
827;0,5050363213
828;0,5051131232
829;0,5051055355
830;0,5051023704
831;0,5052469431
832;0,5053583098
833;0,5054393187
834;0,5053697419
835;0,5053721399
836;0,505641645
837;0,505858771
838;0,5060459552
839;0,5062999676
840;0,5064011337
841;0,5062183797
842;0,5063530311
843;0,5065860011
844;0,5065661213
845;0,5066153865
846;0,5067487165
847;0,50679474
848;0,5068560584
849;0,5070667971
850;0,507249805
851;0,5074115426
852;0,5076455056
853;0,5077536122
854;0,5075232263
855;0,5075502442
856;0,507715089
857;0,507871689
858;0,508054094
859;0,5082758348
860;0,5081501536
861;0,5079749779
862;0,5082928116
863;0,5085497978
864;0,5087407084
865;0,5085738044
866;0,5084801333
867;0,5088793492
868;0,5089719783
869;0,5088433578
870;0,5090800179
871;0,5091836524
872;0,5089554525
873;0,5089639744
874;0,5090904356
875;0,5093251359
876;0,5094190382
877;0,5093093994
878;0,5094099566
879;0,5095495709
880;0,509568691
881;0,5096686801
882;0,5098474594
883;0,5101737687
884;0,5103212277
885;0,5098385475
886;0,5096379284
887;0,5096171792
888;0,509944772
889;0,5101962163
890;0,5102863447
891;0,5103328683
892;0,5103684102
893;0,5104693781
894;0,510530587
895;0,5105405524
896;0,5102502781
897;0,5099939041
898;0,5102040275
899;0,5102872685
900;0,5102630933
901;0,510394713
902;0,5105142886
903;0,5105657523
904;0,5108940278
905;0,5113689335
906;0,5112683401
907;0,5112964513
908;0,5115335037
909;0,5113003206
910;0,510925894
911;0,5107281476
912;0,5106738532
913;0,510780061
914;0,5112843609
915;0,511623578
916;0,511080857
917;0,5108511866
918;0,5108551949
919;0,5115448063
920;0,5118667666
921;0,5112874871
922;0,5110807622
923;0,5110732702
924;0,5114705509
925;0,5115407339
926;0,5111391056
927;0,5110545372
928;0,5110559892
929;0,5110186032
930;0,5112457037
931;0,5117308166
932;0,5113743956
933;0,5109035545
934;0,5104668396
935;0,5106382885
936;0,5112052077
937;0,5111642363
