id,N_sim_600_655
2,8
7,1
12,8
14,1
19,0
24,12
26,6
31,0
36,19
38,15
43,2
48,18
50,12
55,0
60,19
62,28
67,1
72,40
74,17
79,1
84,36
86,14
91,1
96,24
98,3
103,0
108,9
110,2
111,79
