"lambda";"moy"
683;0,6170508392
684;0,6169200872
685;0,6168421364
686;0,6168088052
687;0,616904805
688;0,6168846739
689;0,6165197389
690;0,6161995641
691;0,6159109651
692;0,6161709722
693;0,6162677795
694;0,6160903158
695;0,6161207956
696;0,6161911595
697;0,6160019223
698;0,6158447584
699;0,6157235198
700;0,615759121
701;0,6157968872
702;0,6157323743
703;0,6157158404
704;0,6157352152
705;0,6155037352
706;0,6153435843
707;0,6153744961
708;0,6152626733
709;0,6150794599
710;0,6148478944
711;0,6145898704
712;0,6142933466
713;0,6141987482
714;0,6141865381
715;0,6143115061
716;0,6141965343
717;0,6138437333
718;0,6138513135
719;0,6138370271
720;0,6135851739
721;0,6136049845
722;0,6138046795
723;0,6132641181
724;0,6129409505
725;0,613079887
726;0,6130118576
727;0,6128606356
728;0,6127753332
729;0,6126307982
730;0,61241088
731;0,6120787511
732;0,6118172406
733;0,6120320284
734;0,6117855693
735;0,6111471062
736;0,6111216701
737;0,6111060788
738;0,6109332833
739;0,6108286316
740;0,6107621009
741;0,6105312382
742;0,6103330131
743;0,6101904899
744;0,6100396432
745;0,6098902004
746;0,6097826884
747;0,6096507087
748;0,6094910989
749;0,6094876329
750;0,609465397
751;0,6092381901
752;0,6090490892
753;0,6088887407
754;0,608659385
755;0,6084733418
756;0,6084036845
757;0,6083074849
758;0,6081939117
759;0,6079646209
760;0,6078841452
761;0,6080310728
762;0,6080360675
763;0,60798172
764;0,6078181739
765;0,6076588844
766;0,6075040183
767;0,6075429009
768;0,6075344342
769;0,6072656415
770;0,6071892881
771;0,6072436405
772;0,6071496668
773;0,6070421779
774;0,6069178754
775;0,6067691554
776;0,6066091532
777;0,606454508
778;0,6063887216
779;0,6064434416
780;0,6061911348
781;0,6059271844
782;0,6060267758
783;0,6058654321
784;0,605467581
785;0,6056775175
786;0,6057924944
787;0,605431465
788;0,6052967315
789;0,6052966303
790;0,6050815857
791;0,6050470306
792;0,6053406377
793;0,6052366144
794;0,6050139609
795;0,6050850652
796;0,6051305478
797;0,6051453539
798;0,6049457504
799;0,6048043632
800;0,6050880623
801;0,6050470266
802;0,6047436772
803;0,604646289
804;0,6045046929
805;0,6042229533
806;0,6041557247
807;0,6042087801
808;0,604497005
809;0,6046979431
810;0,6047615987
811;0,6047003671
812;0,604589163
813;0,6044186691
814;0,6044378102
815;0,6046604529
816;0,6045678802
817;0,6046089845
818;0,6052871019
819;0,6053973485
820;0,6051015983
821;0,6053873855
822;0,6056015256
823;0,6056097955
824;0,6058152608
825;0,606104911
826;0,6062445553
827;0,6064598619
828;0,6067768687
829;0,6069098709
830;0,606998137
831;0,6071070467
832;0,6069754457
833;0,6066232668
834;0,606968857
835;0,607452304
836;0,6080664375
837;0,6082453919
838;0,6081616169
839;0,6086023918
840;0,6089432645
841;0,6090839894
842;0,6094186336
843;0,6098294819
844;0,61022726
845;0,6106830838
846;0,611206694
847;0,6112173578
848;0,6112101689
849;0,6116278253
850;0,6123699164
851;0,6133811999
852;0,613370349
853;0,6135026535
854;0,6142215733
855;0,6144105223
856;0,6143296739
857;0,6147885499
858;0,6150835085
859;0,6151091148
860;0,6157160812
861;0,6164795546
862;0,6169248215
863;0,6173281164
864;0,617685751
865;0,618109369
866;0,6185224357
867;0,6188353437
868;0,6191064272
869;0,6193499777
870;0,6197388995
871;0,6204406027
872;0,6217987778
873;0,6222009887
874;0,6222184062
875;0,6231361636
876;0,6236796728
877;0,6236764407
878;0,6244779912
879;0,6253933813
880;0,6255954226
881;0,6260497826
882;0,6267517368
883;0,6277473459
884;0,6286677985
885;0,6291746352
886;0,6294381797
887;0,6295489886
888;0,6313127249
889;0,6323564695
890;0,6319408772
891;0,6320477557
892;0,6324157204
893;0,6332913646
894;0,6339688222
895;0,6343869875
896;0,635315086
897;0,6361947009
898;0,6362911557
899;0,6366175962
900;0,6371407245
901;0,6377373223
902;0,6385070907
903;0,63967322
904;0,6403360483
905;0,6407252912
906;0,6411333193
907;0,6419541156
908;0,6434311971
909;0,6432213314
910;0,6426555119
911;0,6437606632
912;0,6446753519
913;0,6453743422
914;0,6461347999
915;0,6467645892
916;0,6468568474
917;0,6480665967
918;0,6501347458
919;0,6502045929
920;0,6500962819
921;0,6498347031
922;0,6505899805
923;0,6517886553
924;0,6517644643
925;0,6522076914
926;0,653322803
927;0,6535396226
928;0,6538750548
929;0,6564075552
930;0,6568750602
931;0,6553536348
932;0,6575817918
933;0,6592317704
934;0,6572540905
935;0,6570152188
936;0,6578830438
937;0,6580981144
938;0,6587234579
939;0,660159227
940;0,6599332409
941;0,6593504307
942;0,6625480083
943;0,664370464
944;0,6644109543
945;0,6640323836
946;0,6638024536
947;0,6647756863
948;0,6652173127
949;0,6652062788
950;0,6670386685
951;0,6681017459
952;0,6665001064
953;0,6671818245
954;0,6691464859
955;0,6694766351
956;0,6702301493
957;0,6716980275
958;0,672165905
959;0,6724685237
960;0,6742428613
961;0,6745043135
962;0,6730266188
963;0,6744324454
964;0,675880193
965;0,6752974481
966;0,6747276616
967;0,6741602099
968;0,6768614015
969;0,6781521766
970;0,6756786902
971;0,676711048
972;0,6791815546
973;0,6753818249
974;0,6741525689
975;0,6768700577
976;0,6766293239
977;0,6759929247
978;0,6784020898
979;0,6803389832
980;0,681806349
981;0,6829024838
982;0,6837228038
983;0,6837433598
984;0,6824235745
985;0,6801817799
986;0,6807612446
987;0,6815957247
988;0,6827671765
989;0,6863398625
990;0,6904135565
991;0,6869316529
992;0,6852644094
993;0,6860486446
994;0,686243524
995;0,6863475381
996;0,686689287
997;0,6861788618
998;0,6848761289
999;0,6895395288
1000;0,694327492
1001;0,6975963324
1002;0,6937590799
1003;0,6858140331
1004;0,6901980441
1005;0,6915397805
1006;0,6874718818
1007;0,6880974984
1008;0,6897761289
1009;0,6853986647
1010;0,687083314
1011;0,6960800249
1012;0,6916311498
1013;0,6861434483
1014;0,6876935028
1015;0,6903666548
